"aou","n_regions","SPEC","COMMONNAME","SCINAME","SPEC6","species_id","french_common_name","spanish_common_name","sporder","family","genus","species"
2890,81,"NOBO","Northern Bobwhite","Colinus virginianus","COLVIR",89,"Colin de Virginie","Colinus virginianus","Galliformes","Odontophoridae","Colinus","virginianus"
22860,60,"EUCD","Eurasian Collared-Dove","Streptopelia decaocto","STRDEC",140,"Tourterelle turque","Streptopelia decaocto","Columbiformes","Columbidae","Streptopelia","decaocto"
6120,50,"CLSW","Cliff Swallow","Petrochelidon pyrrhonota","PETPYR",1025,"Hirondelle à front blanc","Petrochelidon pyrrhonota","Passeriformes","Hirundinidae","Petrochelidon","pyrrhonota"
6140,31,"TRES","Tree Swallow","Tachycineta bicolor","TACBIC",1016,"Hirondelle bicolore","Tachycineta bicolor","Passeriformes","Hirundinidae","Tachycineta","bicolor"
5190,30,"HOFI","House Finch","Haemorhous mexicanus","HAEMEX",1222,"Roselin familier","Haemorhous mexicanus","Passeriformes","Fringillidae","Haemorhous","mexicanus"
3091,25,"RNEP","Ring-necked Pheasant","Phasianus colchicus","PHACOL",103,"Faisan de Colchide","Phasianus colchicus","Galliformes","Phasianidae","Phasianus","colchicus"
4860,20,"CORA","Common Raven","Corvus corax","CORCOX",1006,"Grand Corbeau","Corvus corax","Passeriformes","Corvidae","Corvus","corax"
3100,19,"WITU","Wild Turkey","Meleagris gallopavo","MELGAL",118,"Dindon sauvage","Meleagris gallopavo","Galliformes","Phasianidae","Meleagris","gallopavo"
6882,17,"HOSP","House Sparrow","Passer domesticus","PASDOM",1195,"Moineau domestique","Passer domesticus","Passeriformes","Passeridae","Passer","domesticus"
4740,16,"HOLA","Horned Lark","Eremophila alpestris","EREALP",1009,"Alouette hausse-col","Eremophila alpestris","Passeriformes","Alaudidae","Eremophila","alpestris"
4930,15,"EUST","European Starling","Sturnus vulgaris","STUVUL",1181,"Étourneau sansonnet","Sturnus vulgaris","Passeriformes","Sturnidae","Sturnus","vulgaris"
5110,15,"COGR","Common Grackle","Quiscalus quiscula","QUIQUI",1474,"Quiscale bronzé","Quiscalus quiscula","Passeriformes","Icteridae","Quiscalus","quiscula"
4090,14,"RBWO","Red-bellied Woodpecker","Melanerpes carolinus","MELCAR",734,"Pic à ventre roux","Melanerpes carolinus","Piciformes","Picidae","Melanerpes","carolinus"
5140,14,"EVGR","Evening Grosbeak","Coccothraustes vespertinus","COCVES",1243,"Gros-bec errant","Coccothraustes vespertinus","Passeriformes","Fringillidae","Coccothraustes","vespertinus"
3131,12,"ROPI","Rock Pigeon","Columba livia","COLLIV",129,"Pigeon biset","Columba livia","Columbiformes","Columbidae","Columba","livia"
5011,12,"WEME","Western Meadowlark","Sturnella neglecta","STUNEG",1468,"Sturnelle de l'Ouest","Sturnella neglecta","Passeriformes","Icteridae","Sturnella","neglecta"
6110,12,"PUMA","Purple Martin","Progne subis","PROSUB",1010,"Hirondelle noire","Progne subis","Passeriformes","Hirundinidae","Progne","subis"
7550,12,"WOTH","Wood Thrush","Hylocichla mustelina","HYLMUS",1145,"Grive des bois","Hylocichla mustelina","Passeriformes","Turdidae","Hylocichla","mustelina"
5010,11,"EAME","Eastern Meadowlark","Sturnella magna","STUMAG",1467,"Sturnelle des prés","Sturnella magna","Passeriformes","Icteridae","Sturnella","magna"
4750,10,"BBMA","Black-billed Magpie","Pica hudsonia","PICHUD",995,"Pie d'Amérique","Pica hudsonia","Passeriformes","Corvidae","Pica","hudsonia"
6190,10,"CEDW","Cedar Waxwing","Bombycilla cedrorum","BOMCED",1185,"Jaseur d'Amérique","Bombycilla cedrorum","Passeriformes","Bombycillidae","Bombycilla","cedrorum"
6830,9,"YBCH","Yellow-breasted Chat","Icteria virens","ICTVIR",1319,"Paruline polyglotte","Icteria virens","Passeriformes","Parulidae","Icteria","virens"
4020,8,"YBSA","Yellow-bellied Sapsucker","Sphyrapicus varius","SPHVAR",736,"Pic maculé","Sphyrapicus varius","Piciformes","Picidae","Sphyrapicus","varius"
4950,8,"BHCO","Brown-headed Cowbird","Molothrus ater","MOLATE",1480,"Vacher à tête brune","Molothrus ater","Passeriformes","Icteridae","Molothrus","ater"
5100,8,"BRBL","Brewer's Blackbird","Euphagus cyanocephalus","EUPCYC",1473,"Quiscale de Brewer","Euphagus cyanocephalus","Passeriformes","Icteridae","Euphagus","cyanocephalus"
6160,8,"BANS","Bank Swallow","Riparia riparia","RIPRIP",1024,"Hirondelle de rivage","Riparia riparia","Passeriformes","Hirundinidae","Riparia","riparia"
4880,7,"AMCR","American Crow","Corvus brachyrhynchos","CORBRA",998,"Corneille d'Amérique","Corvus brachyrhynchos","Passeriformes","Corvidae","Corvus","brachyrhynchos"
6130,7,"BARS","Barn Swallow","Hirundo rustica","HIRRUS",1028,"Hirondelle rustique","Hirundo rustica","Passeriformes","Hirundinidae","Hirundo","rustica"
7030,7,"NOMO","Northern Mockingbird","Mimus polyglottos","MIMPOL",1180,"Moqueur polyglotte","Mimus polyglottos","Passeriformes","Mimidae","Mimus","polyglottos"
5330,6,"PISI","Pine Siskin","Spinus pinus","SPIPIN",1233,"Tarin des pins","Spinus pinus","Passeriformes","Fringillidae","Spinus","pinus"
5420,6,"SAVS","Savannah Sparrow","Passerculus sandwichensis","PASSAN",1395,"Bruant des prés","Passerculus sandwichensis","Passeriformes","Emberizidae","Passerculus","sandwichensis"
5460,6,"GRSP","Grasshopper Sparrow","Ammodramus savannarum","AMMSAV",1396,"Bruant sauterelle","Ammodramus savannarum","Passeriformes","Emberizidae","Ammodramus","savannarum"
5580,6,"WTSP","White-throated Sparrow","Zonotrichia albicollis","ZONALB",1409,"Bruant à gorge blanche","Zonotrichia albicollis","Passeriformes","Emberizidae","Zonotrichia","albicollis"
6040,6,"DICK","Dickcissel","Spiza americana","SPIAME",1462,"Dickcissel d'Amérique","Spiza americana","Passeriformes","Cardinalidae","Spiza","americana"
7480,6,"GCKI","Golden-crowned Kinglet","Regulus satrapa","REGSAT",1099,"Roitelet à couronne dorée","Regulus satrapa","Passeriformes","Regulidae","Regulus","satrapa"
4970,5,"YHBL","Yellow-headed Blackbird","Xanthocephalus xanthocephalus","XANXAN",1470,"Carouge à tête jaune","Xanthocephalus xanthocephalus","Passeriformes","Icteridae","Xanthocephalus","xanthocephalus"
5290,5,"AMGO","American Goldfinch","Spinus tristis","SPITRI",1238,"Chardonneret jaune","Spinus tristis","Passeriformes","Fringillidae","Spinus","tristis"
5380,5,"CCLO","Chestnut-collared Longspur","Calcarius ornatus","CALORN",1246,"Plectrophane à ventre noir","Calcarius ornatus","Passeriformes","Calcariidae","Calcarius","ornatus"
5400,5,"VESP","Vesper Sparrow","Pooecetes gramineus","POOGRA",1387,"Bruant vespéral","Pooecetes gramineus","Passeriformes","Emberizidae","Pooecetes","gramineus"
6170,5,"NRWS","Northern Rough-winged Swallow","Stelgidopteryx serripennis","STESER",1022,"Hirondelle à ailes hérissées","Stelgidopteryx serripennis","Passeriformes","Hirundinidae","Stelgidopteryx","serripennis"
6710,5,"PIWA","Pine Warbler","Setophaga pinus","SETPIN",1294,"Paruline des pins","Setophaga pinus","Passeriformes","Parulidae","Setophaga","pinus"
3080,4,"STGR","Sharp-tailed Grouse","Tympanuchus phasianellus","TYMPHA",115,"Tétras à queue fine","Tympanuchus phasianellus","Galliformes","Phasianidae","Tympanuchus","phasianellus"
4520,4,"GCFL","Great Crested Flycatcher","Myiarchus crinitus","MYICRI",900,"Tyran huppé","Myiarchus crinitus","Passeriformes","Tyrannidae","Myiarchus","crinitus"
4940,4,"BOBO","Bobolink","Dolichonyx oryzivorus","DOLORY",1463,"Goglu des prés","Dolichonyx oryzivorus","Passeriformes","Icteridae","Dolichonyx","oryzivorus"
5600,4,"CHSP","Chipping Sparrow","Spizella passerina","SPIPAS",1381,"Bruant familier","Spizella passerina","Passeriformes","Emberizidae","Spizella","passerina"
5970,4,"BLGR","Blue Grosbeak","Passerina caerulea","PASCAE",1454,"Guiraca bleu","Passerina caerulea","Passeriformes","Cardinalidae","Passerina","caerulea"
6270,4,"WAVI","Warbling Vireo","Vireo gilvus","VIRGIL",964,"Viréo mélodieux","Vireo gilvus","Passeriformes","Vireonidae","Vireo","gilvus"
6470,4,"TEWA","Tennessee Warbler","Oreothlypis peregrina","OREPER",1263,"Paruline obscure","Oreothlypis peregrina","Passeriformes","Parulidae","Oreothlypis","peregrina"
7180,4,"CARW","Carolina Wren","Thryothorus ludovicianus","THRLUD",1069,"Troglodyte de Caroline","Thryothorus ludovicianus","Passeriformes","Troglodytidae","Thryothorus","ludovicianus"
7250,4,"MAWR","Marsh Wren","Cistothorus palustris","CISPAL",1068,"Troglodyte des marais","Cistothorus palustris","Passeriformes","Troglodytidae","Cistothorus","palustris"
4670,3,"LEFL","Least Flycatcher","Empidonax minimus","EMPMIN",878,"Moucherolle tchébec","Empidonax minimus","Passeriformes","Tyrannidae","Empidonax","minimus"
5810,3,"SOSP","Song Sparrow","Melospiza melodia","MELMEL",1405,"Bruant chanteur","Melospiza melodia","Passeriformes","Emberizidae","Melospiza","melodia"
6480,3,"NOPA","Northern Parula","Setophaga americana","SETAME",1284,"Paruline à collier","Setophaga americana","Passeriformes","Parulidae","Setophaga","americana"
6520,3,"YEWA","Yellow Warbler","Setophaga petechia","SETPET",1289,"Paruline jaune","Setophaga petechia","Passeriformes","Parulidae","Setophaga","petechia"
6630,3,"YTWA","Yellow-throated Warbler","Setophaga dominica","SETDOM",1298,"Paruline à gorge jaune","Setophaga dominica","Passeriformes","Parulidae","Setophaga","dominica"
6810,3,"COYE","Common Yellowthroat","Geothlypis trichas","GEOTRI",1277,"Paruline masquée","Geothlypis trichas","Passeriformes","Parulidae","Geothlypis","trichas"
6860,3,"CAWA","Canada Warbler","Cardellina canadensis","CADCAN",1312,"Paruline du Canada","Cardellina canadensis","Passeriformes","Parulidae","Cardellina","canadensis"
7590,3,"HETH","Hermit Thrush","Catharus guttatus","CATGUT",1144,"Grive solitaire","Catharus guttatus","Passeriformes","Turdidae","Catharus","guttatus"
4060,2,"RHWO","Red-headed Woodpecker","Melanerpes erythrocephalus","MELERY",726,"Pic à tête rouge","Melanerpes erythrocephalus","Piciformes","Picidae","Melanerpes","erythrocephalus"
4230,2,"CHSW","Chimney Swift","Chaetura pelagica","CHAPEL",200,"Martinet ramoneur","Chaetura pelagica","Apodiformes","Apodidae","Chaetura","pelagica"
4280,2,"RTHU","Ruby-throated Hummingbird","Archilochus colubris","ARCCOL",231,"Colibri à gorge rubis","Archilochus colubris","Apodiformes","Trochilidae","Archilochus","colubris"
4320,2,"BTAH","Broad-tailed Hummingbird","Selasphorus platycercus","SELPLA",238,"Colibri à queue large","Selasphorus platycercus","Apodiformes","Trochilidae","Selasphorus","platycercus"
4691,2,"GRFL","Gray Flycatcher","Empidonax wrightii","EMPWRI",880,"Moucherolle gris","Empidonax wrightii","Passeriformes","Tyrannidae","Empidonax","wrightii"
4920,2,"PIJA","Pinyon Jay","Gymnorhinus cyanocephalus","GYMCYA",983,"Geai des pinèdes","Gymnorhinus cyanocephalus","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus"
4980,2,"RWBL","Red-winged Blackbird","Agelaius phoeniceus","AGEPHO",1464,"Carouge à épaulettes","Agelaius phoeniceus","Passeriformes","Icteridae","Agelaius","phoeniceus"
5070,2,"BAOR","Baltimore Oriole","Icterus galbula","ICTGAL",1496,"Oriole de Baltimore","Icterus galbula","Passeriformes","Icteridae","Icterus","galbula"
5950,2,"RBGR","Rose-breasted Grosbeak","Pheucticus ludovicianus","PHELUD",1447,"Cardinal à poitrine rose","Pheucticus ludovicianus","Passeriformes","Cardinalidae","Pheucticus","ludovicianus"
5960,2,"BHGR","Black-headed Grosbeak","Pheucticus melanocephalus","PHEMEL",1448,"Cardinal à tête noire","Pheucticus melanocephalus","Passeriformes","Cardinalidae","Pheucticus","melanocephalus"
6360,2,"BAWW","Black-and-white Warbler","Mniotilta varia","MNIVAR",1259,"Paruline noir et blanc","Mniotilta varia","Passeriformes","Parulidae","Mniotilta","varia"
6460,2,"OCWA","Orange-crowned Warbler","Oreothlypis celata","ORECEL",1264,"Paruline verdâtre","Oreothlypis celata","Passeriformes","Parulidae","Oreothlypis","celata"
6680,2,"TOWA","Townsend's Warbler","Setophaga townsendi","SETTOW",1302,"Paruline de Townsend","Setophaga townsendi","Passeriformes","Parulidae","Setophaga","townsendi"
6883,2,"ETSP","Eurasian Tree Sparrow","Passer montanus","PASMON",1196,"Moineau friquet","Passer montanus","Passeriformes","Passeridae","Passer","montanus"
7050,2,"BRTH","Brown Thrasher","Toxostoma rufum","TOXRUF",1168,"Moqueur roux","Toxostoma rufum","Passeriformes","Mimidae","Toxostoma","rufum"
7331,2,"JUTI","Juniper Titmouse","Baeolophus ridgwayi","BAERID",1043,"Mésange des genévriers","Baeolophus ridgwayi","Passeriformes","Paridae","Baeolophus","ridgwayi"
7430,2,"BUSH","Bushtit","Psaltriparus minimus","PSAMIN",1049,"Mésange buissonnière","Psaltriparus minimus","Passeriformes","Aegithalidae","Psaltriparus","minimus"
3160,1,"MODO","Mourning Dove","Zenaida macroura","ZENMAC",158,"Tourterelle triste","Zenaida macroura","Columbiformes","Columbidae","Zenaida","macroura"
3870,1,"YBCU","Yellow-billed Cuckoo","Coccyzus americanus","COCAME",164,"Coulicou à bec jaune","Coccyzus americanus","Cuculiformes","Cuculidae","Coccyzus","americanus"
3940,1,"DOWO","Downy Woodpecker","Dryobates pubescens","DRYPUB",743,"Pic mineur","Picoides pubescens","Piciformes","Picidae","Picoides","pubescens"
4240,1,"VASW","Vaux's Swift","Chaetura vauxi","CHAVAU",201,"Martinet de Vaux","Chaetura vauxi","Apodiformes","Apodidae","Chaetura","vauxi"
4440,1,"EAKI","Eastern Kingbird","Tyrannus tyrannus","TYRTYR",918,"Tyran tritri","Tyrannus tyrannus","Passeriformes","Tyrannidae","Tyrannus","tyrannus"
4470,1,"WEKI","Western Kingbird","Tyrannus verticalis","TYRVER",917,"Tyran de l'Ouest","Tyrannus verticalis","Passeriformes","Tyrannidae","Tyrannus","verticalis"
4620,1,"WEWP","Western Wood-Pewee","Contopus sordidulus","CONSOR",868,"Pioui de l'Ouest","Contopus sordidulus","Passeriformes","Tyrannidae","Contopus","sordidulus"
4641,1,"PSFL","Pacific-slope Flycatcher","Empidonax difficilis","EMPDIF",884,"Moucherolle côtier","Empidonax difficilis","Passeriformes","Tyrannidae","Empidonax","difficilis"
4650,1,"ACFL","Acadian Flycatcher","Empidonax virescens","EMPVIR",873,"Moucherolle vert","Empidonax virescens","Passeriformes","Tyrannidae","Empidonax","virescens"
4661,1,"ALFL","Alder Flycatcher","Empidonax alnorum","EMPALN",874,"Moucherolle des aulnes","Empidonax alnorum","Passeriformes","Tyrannidae","Empidonax","alnorum"
4680,1,"HAFL","Hammond's Flycatcher","Empidonax hammondii","EMPHAM",879,"Moucherolle de Hammond","Empidonax hammondii","Passeriformes","Tyrannidae","Empidonax","hammondii"
5060,1,"OROR","Orchard Oriole","Icterus spurius","ICTSPU",1486,"Oriole des vergers","Icterus spurius","Passeriformes","Icteridae","Icterus","spurius"
5610,1,"CCSP","Clay-colored Sparrow","Spizella pallida","SPIPAL",1382,"Bruant des plaines","Spizella pallida","Passeriformes","Emberizidae","Spizella","pallida"
5620,1,"BRSP","Brewer's Sparrow","Spizella breweri","SPIBRE",1383,"Bruant de Brewer","Spizella breweri","Passeriformes","Emberizidae","Spizella","breweri"
5738,1,"SABS","Sagebrush Sparrow","Artemisiospiza nevadensis","ARTNEV",1391,"Bruant des armoises","Artemisiospiza nevadensis","Passeriformes","Emberizidae","Artemisiospiza","nevadensis"
5870,1,"EATO","Eastern Towhee","Pipilo erythrophthalmus","PIPERY",1359,"Tohi à flancs roux","Pipilo erythrophthalmus","Passeriformes","Emberizidae","Pipilo","erythrophthalmus"
5930,1,"NOCA","Northern Cardinal","Cardinalis cardinalis","CARCAI",1443,"Cardinal rouge","Cardinalis cardinalis","Passeriformes","Cardinalidae","Cardinalis","cardinalis"
6050,1,"LARB","Lark Bunting","Calamospiza melanocorys","CALMEC",1394,"Bruant noir et blanc","Calamospiza melanocorys","Passeriformes","Emberizidae","Calamospiza","melanocorys"
6070,1,"WETA","Western Tanager","Piranga ludoviciana","PIRLUD",1435,"Piranga à tête rouge","Piranga ludoviciana","Passeriformes","Cardinalidae","Piranga","ludoviciana"
6280,1,"YTVI","Yellow-throated Vireo","Vireo flavifrons","VIRFLF",957,"Viréo à gorge jaune","Vireo flavifrons","Passeriformes","Vireonidae","Vireo","flavifrons"
6450,1,"NAWA","Nashville Warbler","Oreothlypis ruficapilla","ORERUF",1267,"Paruline à joues grises","Oreothlypis ruficapilla","Passeriformes","Parulidae","Oreothlypis","ruficapilla"
7040,1,"GRCA","Gray Catbird","Dumetella carolinensis","DUMCAR",1165,"Moqueur chat","Dumetella carolinensis","Passeriformes","Mimidae","Dumetella","carolinensis"
7270,1,"WBNU","White-breasted Nuthatch","Sitta carolinensis","SITCAR",1051,"Sittelle à poitrine blanche","Sitta carolinensis","Passeriformes","Sittidae","Sitta","carolinensis"
7510,1,"BGGN","Blue-gray Gnatcatcher","Polioptila caerulea","POLCAE",1089,"Gobemoucheron gris-bleu","Polioptila caerulea","Passeriformes","Polioptilidae","Polioptila","caerulea"
7560,1,"VEER","Veery","Catharus fuscescens","CATFUN",1140,"Grive fauve","Catharus fuscescens","Passeriformes","Turdidae","Catharus","fuscescens"
